DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,DK,2013,91.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,DK,2014,95.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,DK,2015,100.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,DK,2016,104.4,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,DK,2017,109.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,DK,2018,112.7,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,DK,2019,114.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,DK,2020,117.9,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,DK,2021,126.4,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,DK,2022,133.4,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EE,2010,71.3,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EE,2011,90.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EE,2012,106.0,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EE,2013,105.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EE,2014,103.6,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EE,2015,100.0,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EE,2016,104.6,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EE,2017,127.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EE,2018,142.7,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EE,2019,151.0,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EE,2020,141.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EE,2021,155.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EE,2022,153.2,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EL,2010,234.4,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EL,2011,137.5,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EL,2012,91.5,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EL,2013,84.0,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EL,2014,97.0,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EL,2015,100.0,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EL,2016,106.0,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EL,2017,86.7,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EL,2018,74.6,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EL,2019,70.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EL,2020,63.4,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EL,2021,67.7,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,EL,2022,84.2,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,ES,2010,104.2,p
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,ES,2011,88.0,p
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,ES,2012,81.6,p
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,ES,2013,83.1,p
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,ES,2014,97.9,p
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,ES,2015,100.1,p
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,ES,2016,104.9,p
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,ES,2017,103.9,p
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,ES,2018,106.0,p
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,ES,2019,103.9,p
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,ES,2020,90.5,p
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,ES,2021,84.9,p
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,ES,2022,78.5,p
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,FI,2010,90.7,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,FI,2011,98.1,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,FI,2012,96.9,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,FI,2013,94.1,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,FI,2014,94.5,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,FI,2015,99.9,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,FI,2016,105.4,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,FI,2017,110.9,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,FI,2018,113.4,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,FI,2019,113.2,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,FI,2020,113.5,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,FI,2021,117.5,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,FI,2022,119.4,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,FR,2010,111.6,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,FR,2011,109.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,FR,2012,104.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,FR,2013,104.9,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F,CA,I15,FR,2014,102.1,
