DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,DE,2018,104.4,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,DE,2019,106.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,DE,2020,107.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,DE,2021,107.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,DE,2022,107.8,p
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,DK,2008,128.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,DK,2009,112.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,DK,2010,104.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,DK,2011,106.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,DK,2012,106.1,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,DK,2013,93.7,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,DK,2014,96.6,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,DK,2015,100.0,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,DK,2016,103.9,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,DK,2017,107.2,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,DK,2018,109.6,
ESTAT:STS_COLB_A(1.0),13/05/23 11:00:00,A,HOWK,F,NSA,I15,DK,2019,110.5,
