Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do;jsessionid=B716B4FEA186AB7066585DA619F8ADC6?SERIES_KEY=132.STS.M.NO.S.BPER.CC1109.4.000
,STS.M.NO.S.BPER.CC1109.4.000
,"Norway - Building Permits / dwellings, All Residential Buildings excluding residences for communities; Eurostat; Seasonally adjusted, not working day adjusted "
Collection:,Average of observations through period (A)
Period\Unit:,[2015=100]
2008Feb,93.40,Normal value (A)
2008Jan,89.00,Normal value (A)
2007Dec,89.40,Normal value (A)
2007Nov,113.10,Normal value (A)
2007Oct,104.80,Normal value (A)
2007Sep,109.90,Normal value (A)
2007Aug,109.10,Normal value (A)
2007Jul,98.30,Normal value (A)
2007Jun,99.70,Normal value (A)
2007May,115.00,Normal value (A)
2007Apr,137.20,Normal value (A)
2007Mar,100.80,Normal value (A)
2007Feb,117.80,Normal value (A)
2007Jan,124.20,Normal value (A)
2006Dec,167.50,Normal value (A)
2006Nov,97.00,Normal value (A)
2006Oct,117.20,Normal value (A)
2006Sep,102.40,Normal value (A)
2006Aug,95.70,Normal value (A)
2006Jul,106.50,Normal value (A)
2006Jun,116.30,Normal value (A)
2006May,95.00,Normal value (A)
2006Apr,107.70,Normal value (A)
2006Mar,166.20,Normal value (A)
2006Feb,101.90,Normal value (A)
2006Jan,102.40,Normal value (A)
2005Dec,139.80,Normal value (A)
2005Nov,121.10,Normal value (A)
2005Oct,103.50,Normal value (A)
2005Sep,95.70,Normal value (A)
2005Aug,101.50,Normal value (A)
2005Jul,106.10,Normal value (A)
2005Jun,64.90,Normal value (A)
2005May,126.90,Normal value (A)
2005Apr,117.50,Normal value (A)
2005Mar,91.00,Normal value (A)
2005Feb,104.40,Normal value (A)
2005Jan,109.80,Normal value (A)
2004Dec,93.90,Normal value (A)
2004Nov,101.90,Normal value (A)
2004Oct,114.10,Normal value (A)
2004Sep,90.90,Normal value (A)
2004Aug,123.20,Normal value (A)
2004Jul,110.10,Normal value (A)
2004Jun,108.90,Normal value (A)
2004May,104.40,Normal value (A)
2004Apr,101.80,Normal value (A)
2004Mar,59.20,Normal value (A)
2004Feb,108.20,Normal value (A)
2004Jan,72.60,Normal value (A)
2003Dec,85.10,Normal value (A)
2003Nov,66.50,Normal value (A)
2003Oct,80.40,Normal value (A)
2003Sep,74.50,Normal value (A)
2003Aug,71.90,Normal value (A)
2003Jul,76.90,Normal value (A)
2003Jun,79.60,Normal value (A)
2003May,66.60,Normal value (A)
2003Apr,67.10,Normal value (A)
2003Mar,81.80,Normal value (A)
2003Feb,54.80,Normal value (A)
2003Jan,88.50,Normal value (A)
2002Dec,71.80,Normal value (A)
2002Nov,80.00,Normal value (A)
2002Oct,67.70,Normal value (A)
2002Sep,77.10,Normal value (A)
2002Aug,70.20,Normal value (A)
2002Jul,73.60,Normal value (A)
2002Jun,70.50,Normal value (A)
2002May,67.30,Normal value (A)
2002Apr,70.60,Normal value (A)
2002Mar,65.90,Normal value (A)
2002Feb,79.30,Normal value (A)
2002Jan,73.00,Normal value (A)
2001Dec,69.40,Normal value (A)
2001Nov,80.00,Normal value (A)
2001Oct,76.70,Normal value (A)
2001Sep,80.60,Normal value (A)
2001Aug,77.80,Normal value (A)
2001Jul,80.40,Normal value (A)
2001Jun,72.70,Normal value (A)
2001May,85.80,Normal value (A)
2001Apr,83.50,Normal value (A)
2001Mar,85.50,Normal value (A)
2001Feb,82.90,Normal value (A)
2001Jan,80.50,Normal value (A)
2000Dec,88.20,Normal value (A)
2000Nov,77.40,Normal value (A)
2000Oct,77.00,Normal value (A)
2000Sep,84.90,Normal value (A)
2000Aug,78.30,Normal value (A)
2000Jul,71.80,Normal value (A)
2000Jun,70.70,Normal value (A)
2000May,75.80,Normal value (A)
2000Apr,60.90,Normal value (A)
2000Mar,76.80,Normal value (A)
2000Feb,70.80,Normal value (A)
2000Jan,66.20,Normal value (A)
