Year,Wages,Predicted GVA,GVA
2010,4926.2,9496.029100505635,9224.9
2011,4508.4,8777.070727834478,8464.3
2014,3146.8,6322.174558287486,6298.0
2020,4293.6,8228.050633950159,8298.3
2021,4667.5,8785.397522903979,8938.6
2023,5266.733865089886,9608.940453760326,
2024,5339.149925063934,9705.841735849157,
2025,5412.5616848163445,9805.895456699654,
2026,5486.982834929688,9909.02991387248,
2027,5562.427254228071,10015.17140288651,
