Year,Wages,Predicted GVA,GVA
2010,507.1,1086.4940335974097,776.6
2011,509.0,1067.917387854308,985.2
2014,714.9,1302.7570673562586,1300.3
2020,1036.5,1564.5163011960685,1677.4
2021,1141.5,1724.9961018376052,1622.4
2023,1370.5721489041318,2119.600248876959,
2024,1556.3115288746394,2530.7532940022647,
2025,1767.2222340463873,3043.3092018812895,
2026,2006.7154721691113,3678.7159091457725,
2027,2278.6647364788637,4462.806756023318,
