Year,Wages,Predicted GVA,GVA
2010,2095.7,3840.348434381187,9066.8
2011,1847.0,3038.3360757529736,6360.4
2014,1259.9,3972.242724046111,3738.4
2020,1082.8,4367.514139257371,2681.3
2021,1145.0,3203.0500673875213,2925.1
2023,1137.7195265127127,2643.452278226614,
2024,1129.3017981227633,2423.1892178729177,
2025,1120.9463505934264,2194.6359391137958,
2026,1112.652723122759,1957.6044734343886,
2027,1104.420458318187,1711.9087758138776,
