Year,Wages,Predicted GVA,GVA
2010,1357.7,2014.1606233641505,2006.9
2011,1488.6,2190.293432921171,2045.7
2014,1633.9,2471.532997056842,2477.5
2020,2065.0,3358.0586508736014,3307.1
2021,2378.4,4080.3127786144614,3805.3
2023,2697.413332015468,5087.632231853902,
2024,2856.0365378139386,5675.062192834914,
2025,3023.9876879504695,6366.8755260929465,
2026,3201.815318467667,7182.046110898256,
2027,3390.100222439173,8142.558144189417,
