Year,Wages,Predicted GVA,GVA
2010,1189.2,2189.038156401366,2101.2
2011,1084.7,1940.5193808041513,1926.3
2014,898.2,1482.4696834348142,1575.1
2020,1435.2,2572.0753307845443,2535.4
2021,1585.3,2863.8686110451818,2894.7
2023,1808.5056209170161,3242.210103906691,
2024,1874.00021823666,3314.127332953736,
2025,1941.8666866903766,3383.7732361685485,
2026,2012.190923022431,3451.230457957834,
2027,2085.061934707079,3516.5828519314528,
