Year,Wages,Predicted GVA,GVA
2010,8065.9,17887.252518974245,17123.6
2011,8298.2,18192.024659459013,17476.8
2014,9160.4,19175.97103968449,18958.7
2020,11972.9,24653.304547687992,24178.0
2021,12817.0,27871.893330295105,26329.8
2023,13834.633487751855,31549.57812638767,
2024,14266.011026916889,33053.13155191345,
2025,14710.83934390418,34722.41157024959,
2026,15169.537847254036,36577.69673571363,
2027,15642.539023079378,38640.975470621604,
