Year,Wages,Predicted GVA,GVA
2010,656.9,1550.0289783254266,1422.6
2011,614.3,1379.554319512099,1233.0
2014,311.1,548.6668281331658,653.4
2020,580.2,1293.4857027418911,1192.3
2021,599.6,1340.2151452414691,1309.2
2023,640.7929751006202,1423.8674291968346,
2024,668.2109632844655,1446.0818348787725,
2025,696.8021011519998,1455.6428424157202,
2026,726.6165849528936,1450.6013839058578,
2027,757.7067587134536,1428.865791965276,
