Year,Wages,Predicted GVA,GVA
2010,53717.0,96942.95564994216,99926.0
2011,56242.0,103601.87455806136,105972.0
2014,60638.0,118608.45367750525,119583.0
2020,77896.0,160325.93551644683,167329.0
2021,81466.0,173057.3193937242,179802.0
2023,87201.6626975796,202645.31508740783,
2024,88525.11091320455,189993.2072149217,
2025,89868.64492909133,172762.8130298555,
2026,91232.56958480022,150334.32903823256,
2027,92617.19434640164,122046.056319803,
