Year,Wages,Predicted GVA,GVA
2010,34913.0,96061.00306785107,87560.0
2011,28983.0,79884.90844917297,73557.0
2014,19267.0,52664.75021350384,53254.0
2020,26909.0,67242.26963460445,61880.0
2021,29131.0,66405.3711849451,60865.0
2023,31363.008939146905,59326.371797442436,
2024,31862.859308639454,54417.972475767136,
2025,32370.676081877467,48630.77938783169,
2026,32886.58622403394,41900.0572937727,
2027,33410.7187237991,34159.20246779919,
