Year,Wages,Predicted GVA,GVA
2010,14616.0,29581.363897800446,30186.0
2011,14554.0,28667.509300231934,29794.0
2014,12605.0,27349.62773156166,25882.0
2020,15315.0,38619.05338692665,38241.0
2021,16000.0,40594.12783432007,40100.0
2023,17162.769829309644,41575.81824350357,
2024,17454.412669700243,43156.963502168655,
2025,17751.01132708292,44641.466817855835,
2026,18052.650014469808,45970.32994580269,
2027,18359.41437588461,47076.25443172455,
