Year,Wages,Predicted GVA,GVA
2010,26076.9,86075.26838368364,81550.4
2011,26115.2,85239.57867779117,82617.5
2014,21015.3,62772.30462930258,65661.9
2020,22461.8,62333.798656894825,66317.5
2021,27256.8,79194.16724672541,79968.8
2023,32202.337658187833,89255.527095953,
2024,33292.04324640325,90225.36453433894,
2025,34418.62374356448,90977.17910485715,
2026,35583.326971949806,91480.3013451416,
2027,36787.442979309635,91701.35566398315,
