Year,Wages,Predicted GVA,GVA
2010,417.5,908.0188662409782,750.4
2011,481.4,1049.6880551520735,1008.7
2014,533.3,1065.5212783813477,1079.1
2020,870.5,1700.154055569321,1651.8
2021,1014.4,1975.6793040987104,1845.8
2023,1275.4102466702898,2337.156485699117,
2024,1429.4123877957552,2468.86643570289,
2025,1602.0098471987276,2536.5689178537577,
2026,1795.44795640067,2505.527430254966,
2027,2012.243164285278,2329.3206310551614,
