Year,Wages,Predicted GVA,GVA
2010,111.8,292.5775919612497,285.7
2011,124.0,313.6393158733845,268.6
2014,117.4,260.96560690924525,283.5
2020,215.7,631.6555755361915,606.1
2021,234.4,662.7425190862268,638.4
2023,269.9237220920424,695.7284918110818,
2024,286.9587071603865,701.8831598088145,
2025,305.0687763822447,689.3314180169255,
2026,324.32177871272324,652.0245039835572,
2027,344.78984507936184,582.7287726011127,
