DATAFLOW,LAST UPDATE,freq,nace_r2,indic_sb,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,DK,2018,38172.9,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,DK,2019,40085.9,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,DK,2020,41339.0,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EE,2011,2241.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EE,2012,2706.6,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EE,2013,2804.5,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EE,2014,2766.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EE,2015,2684.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EE,2016,2922.7,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EE,2017,3413.3,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EE,2018,3890.8,b
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EE,2019,4160.0,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EE,2020,4070.9,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EL,2011,11398.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EL,2012,10858.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EL,2013,10238.0,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EL,2014,9184.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EL,2015,9295.0,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EL,2016,9560.3,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EL,2017,9674.5,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EL,2018,9308.6,b
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EL,2019,9731.5,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,EL,2020,9968.5,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,ES,2011,156057.9,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,ES,2012,119303.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,ES,2013,99206.3,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,ES,2014,103533.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,ES,2015,111563.7,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,ES,2016,115838.9,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,ES,2017,124556.3,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,ES,2018,150361.1,b
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,ES,2019,160885.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,ES,2020,140562.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FI,2011,27258.2,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FI,2012,29047.0,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FI,2013,28720.7,b
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FI,2014,29315.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FI,2015,30593.2,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FI,2016,33586.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FI,2017,37762.5,b
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FI,2018,38638.7,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FI,2019,40120.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FI,2020,40409.6,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FR,2011,272497.3,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FR,2012,284007.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FR,2013,282296.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FR,2014,290927.1,b
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FR,2015,276934.9,b
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FR,2016,281543.6,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FR,2017,293684.7,b
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FR,2018,309259.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FR,2019,338109.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,FR,2020,318927.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HR,2011,6061.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HR,2012,5384.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HR,2013,5159.6,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HR,2014,5127.5,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HR,2015,5614.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HR,2016,5640.7,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HR,2017,5929.0,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HR,2018,6519.2,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HR,2019,7647.8,b
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HR,2020,7779.0,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HU,2011,6981.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HU,2012,6477.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HU,2013,7313.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HU,2014,8356.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HU,2015,8929.7,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HU,2016,7931.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HU,2017,10536.9,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HU,2018,14065.0,b
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HU,2019,16492.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,HU,2020,16286.6,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IE,2011,13532.3,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IE,2012,7903.5,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IE,2013,9757.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IE,2014,14102.7,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IE,2015,15603.5,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IE,2016,19964.7,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IE,2017,25587.9,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IE,2018,29639.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IE,2019,26661.0,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IE,2020,27360.6,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IS,2011,,p
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IS,2015,1100.7,p
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IS,2016,1634.4,p
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IS,2017,2144.5,p
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IS,2018,2147.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IS,2019,2104.2,p
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IS,2020,1891.8,p
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IT,2011,210382.7,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IT,2012,202692.7,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IT,2013,181368.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IT,2014,168117.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IT,2015,165208.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IT,2016,162869.6,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IT,2017,165333.8,b
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IT,2018,166843.7,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IT,2019,173721.9,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,IT,2020,168198.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LT,2011,3432.9,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LT,2012,3569.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LT,2013,3998.3,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LT,2014,4834.5,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LT,2015,4831.5,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LT,2016,4563.2,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LT,2017,5220.0,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LT,2018,6172.0,b
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LT,2019,6868.0,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LT,2020,7022.3,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LU,2011,4123.0,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LU,2012,4351.7,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LU,2013,4349.0,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LU,2014,4807.9,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LU,2015,5118.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LU,2016,5546.7,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LU,2017,5853.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LU,2018,6251.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LU,2019,6851.6,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LU,2020,6496.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LV,2011,3170.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LV,2012,3871.2,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LV,2013,4259.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LV,2014,4155.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LV,2015,4019.0,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LV,2016,3046.5,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LV,2017,3881.5,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LV,2018,4707.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LV,2019,4893.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,LV,2020,4462.6,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,MT,2011,756.5,
